artist,title,lyrics,mood,label
Chaotica,Turbocharger,"Anesthetizing, Synthesizing, Mechanizing, Energizing.
Fear inflicted by glimmers of fate, transformed by
Lies we hear, spawned from the wombs of hate, Bring
Forth the energy. Lies the building blocks of fact,
Which manifest in cries, ring out and forge attack,
Bring forth the energy. Turbocharger. Fight, conquer
The weak, command the sheep and flex your might, the
Power is in hand, Bring forth the energy. Thrash,
Pound the face of deceit, just close your fist and
Smash, the trends we will defeat, Bring forth the
Energy. Turbocharger.",sad,0
Placebo,Hardly Wait,"I can hardly wait
I can hardly wait
I can hardly wait
I can hardly wait
It's been so long I've lost my taste
Say angel come, say lick my face
Let fall your dress
I'll play the part
I'll open this mouth wide, eat your heart

I can hardly wait...
Lips cracked dry
Tongue blue burst
Say angel come, said lick my thirst
It's been so long I've lost my taste
Here romeo, make my world as great

In my glass coffin I'm waiting
In my glass coffin I'm waiting
In my glass coffin I'm waiting...",sad,0
Kraftwerk,Computer Love (2009 Digital Remaster),"Computer love
Computer love

Another lonely night
Stare at the TV screen
I don't know what to do
I need a rendezvous
Computer love
Computer love

I call this number
For a data date
I don't know what to do
I need a rendezvous

Computer love
Computer love",sad,0
FFH,Great Big Problem,"You were once with me
But you decided to turn
Now my jealousy 
Is a fire that burns
To the core of me
When will I ever learn

I could walk away
But that wouldn't be like me
I could turn my face
But then I couldn't see
You coming back to me 
I'm waiting for that day

I've got a great big problem
You can't ever get to the bottom of 
My love, no matter what you do 
I can't let you go
I've got a great big problem
You can't ever get to the bottom of 
My love 
I can't let you go

You refuse to be
The one I meant for you to be
If you could only see
How this is killing me
You'd come back to me
I would set you free

I call your name 
But it's always the same
You walk away 
It's always the same",sad,0
NOFX,My Heart Is Yearning,"For You
My Heart is yearning
And how
I've loved you so
Its because of you
My dick is burning
Its dripping 
on my toe",happy,1
GWAR,Let's Blame The Lightman,"It's falling, It's falling, It's falling on the ground, yeah
It's falling on the ground, yeah
Let's blame the lightman
for our own mistakes
We'll blame the whole damn crew
if that's what it takes

Cause We wont talk
to anybody else yeah
We wont talk
to anybody else yeah

Let's blame the lightman
and anybody else
Let's blame the lightman
and save us from ourselves  
and save us, save us from ourselves  

We won't talk to anybody else, yeah
We won't talk to anybody else, yeah
we're driving in our limo
we're driving right by you
we dont care about you

Blame it on the Lightman !

Let's blame the lightman !
And heap him with shame
Lets blame the lightman 
Because I'm so lame

We won't talk to anybody else, yeah
We won't talk to anybody else, yeah

Blame, blame, heaping tons of blame on everyone We see
Blaming God, blaming Mom, blaming you
Never blaming me.

It's falling, it's falling
It's falling on the ground
It's falling, it's falling,
It's smashing on down
It's falling, it's falling
It's falling on the ground
It's exploding and they're dying 
and it's really fucking loud 
It's falling it's falling       
On anybody else",happy,1
Sick Puppies,Master Of The Universe,"If you want to know
How far to go
To hell, just ask me.
If you want to see
The view from your knees,
Come down and join me.
I'm the final straw,
The nail in coffin just by being
Who I am, is so goddamn...

I'm not the Master of the Universe,
I walk the earth the wrong way,
Made my pretension and fulfilled the worst,
My past is cursed, the wrong way.

(The wrong way. The wrong way.)

Your glass is half,
His glass is full,
My glass is empty.
You're running short,
Of not enough,
Well I've got plenty.

I've come a long way,
I went the wrong way.

And who I am, is so goddamned

I'm not the Master of the Universe,
I walk the earth the wrong way,
Made my pretension and fulfilled the worst,
My past is cursed, the wrong way.

And when I die I'm gonna fly,
And come and get you.
And when you try and run,
I'll be the curse above you.

It's got to end. It's got to end.

In the race for disaster I will come in first,
That's what I've learned the hard way.

If you want to know
How far to go,
to Hell, just ask me.
If you want to see
The view from your knees,
Come down and join me.

I've come a long way,
I went the wrong way. [x3]",sad,0
Geggy Tah,Gina,"I' ve never seen anything more beautiful
than the eyes on the side of Gina's head
I' ve never seen anything more beautiful
than the eyes on the side of Gina's head
Gina, Gina, Gina, Gina
I' ve never seen anything more elegant
than the neck that holds Gina's head up
Gina...
I' ve never seen anything more motherly
than her nipples make me want to drink her up
I' ve never felt anything more motherly
than a kiss from Gina when I get up
Gina...
I' ve never smelled anything so robust
than when Gina's been playing in that trash
I' ve never smelled anything so sweet
than when she' s fresh out of a warm bath
Gina...
I' ve never seen anything more beautiful
than the eyes on the side of Gina's head",happy,1
Loretta Lynn,I Can't Feel You Anymore,"There's no reason to look at me that way
Old memories won't let my love stay
Your touch just leads me to an open door
And when he touches me, I can't feel you anymore

When he touches me, I can't feel you anymore
He touches me with so much love I never felt before
Goodbye's on the tip of my tongue
But now that leaving you has come
And when he touches me, I can't feel you anymore

You're so late with your new plans for two
He had lots of nights to love me away from you
But the first time that he touched me I was sure
When he touches me I can't feel you anymore

When he touches me, I can't feel you anymore
He touches me with so much love I never felt before
Goodbye's on the tip of my tongue
And now that leaving you has come
And when he touches me, I can't feel you anymore

Anymore",happy,1
Mista,I'll Sweat You (LP Version),"There you go you're haunting me
I need you now
No time to sleep
For you I'll go where no other man will go
I'll give you more than diamond rings
I'll give you all of me
I'll sweat you
I'll sweat you
I'll sweat you
I know you've heard all the lines
Like what's your name
And what's you sign
that's why I'll put
My pride to the side
And do whatever it takes
Just to be with you
I'll sweat you
I'll sweat you
I'll sweat you
Nothing worth having
Ever comes easy
So I'll call you day & night, oh baby
Cause I know what you like
I'll be by your side
I'll follow where you lead",happy,1
The Fray,Vienna,"The day's last one-way ticket train pulls in 
We smile for the casual closure capturing. 
There goes the downpour 
Here goes my fare thee well

There's really no way to reach me
There's really no way to reach me
There's really no way to reach me
‘Cause I'm already gone

There's only so many words that we could say 
Spoken upon long-distance melody. 
This is my hello 
This is my goodness

There's really no way to reach me
There's really no way to reach me
There's really no way to reach me
‘Cause I'm already gone

Maybe in five or ten yours and mine will meet again 
Straighten this whole thing out. 
Maybe then honesty need not be feared as a friend or an enemy 
But this is the distance 
And this is my gameface

There's really no way to reach me
There's really no way to reach me
Is there really no way to reach me
Am I already.....

So this is your maverick 
And this is Vienna",sad,0
Skeeter Davis,He Says The Same Things To Me,"Shall I tell you what he said to you when he kissed you last night
I could tell it sigh for sigh and here's the reason why
He says the same things to me he says the same things to me
Ain't shall I tell you what he said to you as he held you so tight
Let me tell you from the start I know it now by heart
He says the same things to me he says the same things to me
But I know how it must hurt you to find his love isn't real
And if your heart is breaking think how I must feel
And did he tell you there's no other girl that his only love is you
If he did there's no surprise that's just the way he lies
He says the same things to me he says the same things to me",sad,0
Skeeter Davis,Foggy Mountain Top,"If I was on some foggy mountain top I'd sail away to the west
I'd sail around this whole wide world to the boy I love the best

If I had listened to what my mama said would not have been here today
Wishin' for things that I'll never have a weepin' my sweet life away
If I was on some foggy mountain top...

If when you see that other blonde there's something you can tell her
She need not fool her time away tryin' to steal my feller
If I was on some foggy mountain top...

You taught me to weep you taught me to moan you caused me to leave my home
That lonesome town and those good times have marred my way back home
If I was on some foggy mountain top...
I'll get the boy I love the best",happy,1
Pepper,Stormtrooper (Live),"(verse 1:) 
You think that we can't see your face. 
I think you need to give us our space. 
You know that we can raze this place 
And leave you without a trace. 
Storm trooper storm trooper why are you here 
The youth them getting restless and they don't want you near. 
Your watching us your watching us it so improper 
We've seen your kind before we call it informer.
Storm trooper storm trooper where will you go? 
This world she no like you so you better stay low. 
And up from the mountains and out from the trees, 
That is where you come from you crawl like the one disease.

(verse 2:) 
So now you pass me the laser beam 
And you want me to join the team. 
Well Im not used to these kinds of things, 
But this is what the evil brings. 
Let me tell you bout the fire. 
You could bring the waters up above. 
I'll bring my favorite people and I'm bringing all my love. 
You want a battle well don't look very far, 
You want to fight somebody come fight the superstar. 
I knew you wouldn't stand a chance you left without a passing glance, 
There's nothing you could ever do to keep me from stopping you

(verse 3:) 
It's so dark and lonely out here in outer space, 
But at least I got my keyboard and my low bot has his bass.
Playing street sweeper tunes and watching TIE fighters fly by. 
Things would be better if I was back at home with Pepper 
Burning pakalolo not even noticing the weather 
So far and so alone a million light years away. 
Storm trooper storm trooper back up from my door 
I got my blaster set I'm ready to start a minor war. 
This won't be the day you were hoping for so just walk away walk away. 
Better run now cause your done now cause your standing in a bad mans town, boy. 
Time to get back to my daily routine have a beer at a bar on Tattooine.

(chorus:) 
You take away everything, make my people scream out loud. 
Just bring it back 
Lord just bring it back. 
You mess it up and you rearrange open your eyes and turn the page. 
Just bring it back.

(chorus 2:) 
I believe I'll interject to talk about the word respect. 
Its not a word that's in your hands
Its more about the common man 
You took your time and paved the way 
Making room for other man to play a
Grip of bodies a mess of minds endless conversations to rock. 
Na na na na",sad,0
The Rolling Stones,Time Is On My Side,"Time is on my side, yes it is 
Time is on my side, yes it is 

Now you always say
That you want to be free
But you'll come running back 
You'll come running back 
You'll come running back to me 

Oh, time is on my side, yes it is 
Time is on my side, yes it is 

You're searching for good times
But just wait and see
You'll come running back 
You'll come running back 
You'll come running back to me

Go ahead, go ahead and light up the town
And baby, do everything your heart desires
Remember, I'll always be around
And I know, I know
Like I told you so many times before
You're gonna come back, baby
'Cause I know
You're gonna come back knocking
Yeah, knocking right on my door
Yes, yes

Well, time is on my side, yes it is
Time is on my side, yes it is

'Cause I got the real love 
The kind that you need 
You'll come running back 
You'll come running back 
You'll come running back,  to me 

Yes time, time, time is on my side, yes it is 
Time, time, time is on my side, yes it is
Oh, time, time, time is on my side, yes it is
I said, time, time, time is on my side, yes it is 
Oh, time, time, time is on my side 
Yeah, time, time, time is on my side",happy,1
Twila Paris,We Will Glorify (Key-B-Db-Premiere Performance Plus),"We will glorify the King of kings
We will glorify the Lamb
We will glorify the Lord of lords
Who is the great I AM

Lord Jehovah reigns in majesty
We will bow before His throne
We will worship Him in righteousness
We will worship Him alone

He is Lord of heaven, Lord of earth
He is Lord of all who live
He is Lord above the universe
All praise to Him we give

Hallelujah to the King of kings
Hallelujah to the Lamb
Hallelujah to the Lord of Lords
Who is the great I AM",happy,1
Bob Carlisle,Man Of No Reputation,"It was said this man was of no reputation
Yet He could stop the rising storm
With a gesture of His hand
But He chose to use His hands to heal
Hearts of darkness, hearts of stone
Just like mine would be revealed

He was a man of no reputation
And by the wise, considered a fool
When He spoke about faith and forgiveness
In a time when the strongest arms ruled

But this man of no reputation
Loved the weak with relentless affection
And He loved all those poor in spirit just as they were
He was a man of no reputation

It was said this man brought only confusion
That He'd achieve his ends by any means
And the truth that it brings revolution
And for once they were right
The truth set us free

The hearts of the captive were his only concern
And the powerful knew their days were ending

He was a man of no reputation
And by the wise, considered a fool
When He spoke about faith and forgiveness
In a time when the strongest arms ruled

But this man of no reputation
Loved the weak with relentless affection
And He loved all those poor in spirit just as they were
He was a man of no reputation

One day soon the gates of heaven will open wide
And the Prince of Peace will come back for His bride
But for now we live on these streets
Forbidding and tough

Where push always comes to shove
And it's said love's never enough
Where a prophet in rags gives hope to a fearful world
No injustice, no heart of darkness
Will keep this voice from being heard

He was a man of no reputation
And by the wise, considered a fool
When He spoke about faith and forgiveness
In a time when the strongest arms ruled

But this man of no reputation
Loves us all with relentless affection
And He loves all those poor in spirit, come as you are
To the man of no reputation",sad,0
Eminem,Ricky Ticky Toc,"Once you call my name out things will never be the same
They should have never let us get off foot in this game

Ever since I was introduced to rap music
I been missin a screw like Bishop and Juice
I could lose it at any moment
Those who know me know it
So they probaly told you go with the flow
Just so that I don't explode
And have another episode where I let it go as far as
The one with Benzino did

I'm waitin for that next beef
I'm cocked, locked and loaded
I'm ready to go so bad I'm goin bananas
My dick's so hard Anna Nicole could use it
To fuckin' pole vault with
Oh shit, I mean when she was still bloated 
Before they cut her stomach open and lipoed it

Anybody I throw flames at gets a name it's a game
Cause they know that they don't spit the same
It's a shame, what people do for 10 minutes of fame
Everyday it's the same thing
People in this game try to buddy buddy us
Just to get close enough to study us
Everybody just wants to have somethin to do with that
They all tryin' to get that stamp
They after that Shady/Aftermath money

It's like a monopoly
They probaly just now finally understand how to rob fully
50 Cent was like a fuckin' jackpot for me 
And Dre, it's like we hit the fuckin lottery

And a damn slot machine at the same time as each other
Why the fuck you think we rhyme like we brothers
When we rhyme with each other 
In time we discovered that we had more in common 
Then we thought with each other

Both robbed of our mothers
Our fathers ain't want us
What was wrong with us, was it our fault
Cause we started thinkin God doesn't love us
Two hard motheruckers who just happened to meet at the right time
What a coincidence cause when 50 got shot up in Jamaica Queens
I still remember the call up in chunking cause

Big L had just got popped just a month before
If 50 lives he's gettin dropped from Columbia
Two years later me and Doc had to come and operate
That's when he popped up a number one
And we ain't never gonna stop if you wonderin
Even if I'm under the gun 

You ain't gotta agree all the time with me
Or see eye to eye there'll always be animosity between you and I
But see the difference is if it is I could give a shit 
Still gonna conduct motherfuckin buisness as usual

Ego's aside, fore I bruise em' all 
Swallow your pride fore I step on it with shoes you call Nike's
Earth links how do you like these you gotta love them
Look at the bottom of em' they're like cleats
Stompin, I been rompin since Tim Dogg was hollerin
'Fuck Compton'

I was whilin', freestylin'
Back when they was still makin Maxell cassettes
I wasn't even raps Elvis yet 
That tells us that any doubts in your head that seals the shit

Ricky-Ticky-Toc-Ticky-Ticky-Toc
Still with the Diggy-Diggy-Doc-Diggy-Diggy-Doc
And you don't stop",sad,0
Barry Manilow,Come Monday,"In 3B it's Diane 
And she's makin' a plan 
She says 
I'm gonna change my hair 
It just don't fit my face anymore 
I'm gettin' out of here 
I just don't like this place anymore 
Tired of all the stallin' 
This time it's for good 

Come Monday 
Come Monday 
My life starts again 
My new point of view is beginning 
Come Monday 
That one day 
My ship's comin' in 
And this time I'm ready to roll! 
Come Monday 
Come Monday 

Now here's Ken in 5N 
And he swears once again 
He says 
I'm gonna lose the weight 
Gonna get into my clothes again 
I'm gonna graduate 
I'm gonna be the one who knows again 

No more lame excuses 
Then it's understood! 

Come Monday 
Come Monday 
My life starts again 
My new point of view is beginning 
Come Monday 
That one day 
My ship's comin' in 
And this time I'm ready to roll! 
Come Monday 
Come Monday 

Come Monday 
Come this Monday 

Hey Bob, I'm changin' my job! 
Hey man, I'm making a plan! 
Yeah Slim, I'm joinin a gym! 
And this time I'm ready to roll! 

Come Monday 
Come Monday 
My life starts again 
My new point of view is beginning 

Come Monday 
That one day 
My ship's comin' in 
And this time I'm ready to roll! 

Come Monday 
Come Monday 
Come this Monday 
Come this Monday",happy,1
Dexys Midnight Runners,Until I Believe In My Soul,"I'll need tonight to sit and think about this
Think what to do.
I'll take some strength to banish hollow sorrow.
Hollow sorrow's nothing new.
Just enough strength to last until tomorrow
Until I believe in my soul.
Tonight I lost sight of all purpose
Despite all this trickery you told me was right.
I was such a good boy I let you hold the door
So kind, so nice, where's my prize?
(That's all there ever is) Oh yeah yeah yeah?
(That's all there ever was) Ah you must be fucking joking.
(The same for everyone) Oh yes. Yes yes.
Would you repeat that. Break it to me gently,
Stand over there.
Oh I know I was an arrogant boy but I let you hold the door
Oh I was kind. I was nice, where's the prize?
And I'm on the train from New Street
To Euston. I'm going out to Harrow again
And I'm trying to get the feeling
That I had in nineteen seventy two.
Oh but you're going too fast for me here,
I'm saying, wait a minute there, wait a minute there
Hold it, stop! Let me get this clear
(That's all there ever is) oh yeah yeah yeah?
(That's all there ever was) yes, yes. ha ha ha.
(The same for everyone) Oh yes. yes. yes.
You see I know what this is, I know
What's going on here, this is just the difference between . . .
It's the battle between the body and the soul. The spirit
And what's needed here. . .
What I intend to do now is I'm going to punish my body.
I'll punish the body to believe in the soul, I will punish
my body, until I believe in my soul.",happy,1
Jimi Hendrix,Voodoo Chile Blues,"I'm a voodoo chile
Lord I'm a voodoo chile
Yeah
I'm not sayin'

The night I was born
Lord, the moon turned a fire red
I said the night I was born
The moon turned a fire red

My poor mother cried
She said ""the gypsy was right""
And I she fell right dead
Right on the floor there
Hey

And I said fly on
Fly on because I'm a voodoo chile, baby
Voodoo chile",sad,0
Tommy Castro,Sho' Enough,"Tell me baby what's a man to do
When he's in love with a woman like you
Won't even give me the time of day
I want to love you but you're so far away
I try to call you on the phone
I want to see ya but you're never alone
So come on baby it's gettin' late
I've got to have you and I just can't wait

I'm sho' enough in love
Sho' enough in love with you
Well I'm sho' enough in love baby
Sho' enough in love with you

Remember when you used to treat me nice
You let me love you baby, once or twice
Well now I got it, I got it bad
The best darn lovin' I ever had
Oh come on baby give me a chance
It's a good night for a little romance
Let me love you and you know I will
Do it to you till you've had your fill

I'm sho' enough in love
Sho' enough in love with you
Well I'm sho' enough in love baby
Sho' enough in love with you

I think about you baby both day and night
And only you can make me feel alright
Do anything that you want me to
Believe me baby when I say to you

I'm sho' enough in love
Sho' enough in love with you
I'm sho' enough with you baby
Sho' enough in love with you",happy,1
William Orbit,The Monkey King,What the hell are you doing!,sad,0
Point Of Grace,Amazing (LP Version),"Consider your needs of the past 
When somebody helped but you never asked
Now think of the joy you received
When you reached out to someone else in need

(Pre-Chorus)
Cause some days we laugh
Some days we cry
Some days we hold it deep inside
Though each day is a gift from on high

(Chorus)
But what I find
Amazing 
The love we give the love we gain
Amazing
There's so much more that's in Jesus name

Sometimes it's hard to see 
That it's more blessed to give than receive 
Learning from different mistakes
Learning to give instead of just take 
But when we all start to blend 
We'll be like colors surrounding the sun as it sets

(Repeat Pre-Chorus)

(Chorus)

(Pre-Chorus)

(Chorus)

Amazing 
Sometimes it's hard to see
That it's more blessed to give than receive 
Consider your needs of the past
When somebody helped but you never asked",happy,1
Jack Johnson,You And Your Heart,"Watch you when you say
What you are and when you blame
Everyone, you broken king
Watch you change the frame or
Watch you when you take your aim
At the sum of everything

'Cause you and your heart
Shouldn't feel so far apart
You can choose what you take
Why you gotta break and make it feel so hard

You lay there in the street
Like broken glass reflecting pieces of the sun
But you're not the flame
You got the people passing by
Because you know what you don't like
It's just so easy, it's just so easy

But you and your heart
Shouldn't feel so far apart
You can choose what you take
Why you gotta break and make it feel so hard

Oh and you and your heart
Shouldn't feel so far apart
You can choose what you take
Why you gotta break and make it feel so hard

You draw so many lines in the sand
Lost the fingernails on your hands
How you're gonna scratch any backs?
Better hope that time will take our lines away
Take all our lines and

Hope that time will take our lines and
Hope that time will take our lines away
Take all our lines away",sad,0
Blue October,My Never,"Will you think of me in time?
It's never my luck so never mind
I wanna say your name
But the pain starts again
It's never my luck so never mind

I had a dream that you were with me
It wasn't my fault
You rolled me over, flipped me over
Like a somersault.
That doesn't happen to me
I've never been here before
But I saw forever in my never
And I stood outside her heaven

Will you wait for me in time?
It's never my luck so never mind
I've lost a lot of what I don't expect to ever return
I tend to push them till the pushing's turned from hurt into burn
I always take them to that place they thought they wanted to go
Then end up dancing round, this clown commands applause at his show

I had a dream that you were with me
It wasn't my fault
You rolled me over, flipped me over
A somersault
That doesn't happen to me
I've never been here before
I saw forever in my never
And I stood outside her heaven
Heaven, heaven, heaven

I can only dream of you and sleep but I'd never see sunlight again
I can try to be with you, but somehow I'll end up just losing a friend
I can only reach for you, relate to you, I'm losing my friend
Where did she go? Where?

I had a dream that you were with me
It wasn't my fault
You rolled me over, flipped me over
Like a somersault
That doesn't happen to me
I've never been here before
I saw forever in my never
And I stood outside her heaven
I stood outside her heaven

Would you let me in your heaven?
I wanna live inside your heaven",sad,0
X,Motel Room In My Bed (LP Version),put the doorknob on my side if you don't mind i don't care put the doorknob on my side it's self-locking give me your key i go to bed soggy and forgetful hopefully not waking up so fitfully i like coffee and i like tea i like a pretty boy and he likes me put the doorknob on my side it's self-locking give me your key i go to bed soggy and forgetful hopefully not waking up so fitfully motels do that with rubber sheets so i can't sleep staring at my sheets or crying on my sheets or bleeding on the same put the doorknob on my side if you don't mind i don't care a motel room in my bed put both door knobs on my side,happy,1
Jimi Hendrix,Fire,"Alright,
Now dig this, baby

You don't care for me
I don't-a care about that
You got a new fool, ha!
I like to laugh at

I have only one a-burnin' desire
Let me stand next to your fire

(Let me stand next to your fire)
Hey, let me stand next to your fire
(Let me stand next to your fire)
Whoa, let me stand, baby
(Let me stand next to your fire)
Let me stand
(Let me stand next to your fire)
Yeah, baby

Listen here, baby
And stop acting so crazy

You say your mom ain't home, it ain't my concern
Just a-play with me, and you won't get burned
I have only one a-itchin' desire
Let me stand next to your fire

(Let me stand next to your fire)
Yeah, let me stand, baby
(Let me stand next to your fire)
Let me stand
(Let me stand next to your fire)
Oh, let me stand
(Let me stand next to your fire)
Ow!

Oh! Move over, Rover
And let Jimi take over

Yeah, you know what I'm talkin' 'bout
Yeah, get on with it, baby
Ow!
Yeah!

That's what I'm talkin' 'bout
Now, dig this!
Ha!
Now listen, baby

You try to gimme your money
You better save it, babe
Save it for your rainy day
I have only one a-burnin' desire
Let me stand next to your fire, ha

(Let me stand next to your fire)
Ow! A-let me stand
(Let me stand next to your fire)
Oh! Let me stand, baby
(Let me stand next to your fire)
I ain't gonna do you no harm
(Let me stand next to your fire)
Ow!

Yeah!
You better move over, baby
I ain't gonna hurt you, baby
Oh, I ain't talkin' 'bout your old lady
Ow!
Oh yeah, this is Jimi talkin' to you
Yeah, baby",happy,1
Phil Collins,Welcome,"There is nothing complicated
about the way we live
we are here for each other, happy to give
proud of who we are
humble beneath the stars

we've everything we need
the moon, the sun 
there is more than enough here for everyone
all we have we share
and all of us we care

so come on
welcome to our family time
welcome to our brotherly time
we're happy for given an taken to the friends we're makin'
there is nothing we won't do

welcome to our family time
welcome to our happy to be time
this is our festival
ya know the best of all
we're here to share it all

There's a bond between us nobody can explain
It's a celebration of life
we see our friends again
I'll be there for you
I know you'll be there for me too

so come on
welcome to our family time
welcome to our brotherly time
this is the festival
ya know the best of all
we're here to share it all

remember we love once we're parted
someone near to your heart
finding love, planning a future
telling stories, loving with friends
precious moments you'll never forget

this has to be the most beautiful, the most peaceful place I've ever been to
It's nothing like I've never seen before 
When I think how far I've come I can't believe it, yet I see it
when I see family I see the way we used to be

Come on
welcome to our family time
welcome to our brotherly time
we're happy for given an taken to the friends we're makin'
there is nothing we won't do

so come on
welcome to our family time
welcome to our happy to be time
this is the festival
ya know the best of all
we're here to..

We're here to share it all!",happy,1
Teena Marie,Light,"Last night Jesus shined a heavenly light
Through my window in the dark of night
He made me see all of the joys His love could bring

He makes my spirit move endlessly, I am a child of the heavens
Alleluia, my Jesus died for me
Thank You, Father for all the songs You've given me",sad,0
Mindless Self Indulgence,Never Wanted to Dance (Live In London),"There is nothing you can do that I have not already done to myself (x4)

I never wanted to dance with nobody but you
I never wanted to dance with nobody but you
I never wanted to dance with nobody but you
Wouldn’t take no for an answer, you fuckin’ bitch

Be nice
Be nice to me
And don’t let me be
Be nice
Be nice to me
And don’t let me go

I’m too cool for the second grade
I’m amazed
I’m afraid
I’m too cool for the second grade
There is nothing
You can do

That I have not already done to myself",happy,1
Jim Bryson,Somewhere Else,"I used to look for you out in the daylight
I took highways and side streets and back lanes
Slept under open skies
And life can be cruel
But life can be sweet if I want it to be

The town that I once called home
I just can't hold on to
It's got strip malls and bus stops and people 
I would never really talk to
And she says life could be sweet
But life is so cruel 'cause I let it be

And everybody out here
They wanna live somewhere else
I wish I could find a place
And stay there by myself
And bit by bit I swear I think I'm losing
All this city's confidence

And everybody out here
They wanna live somewhere else
And I wish I could find a place
And stay there by myself
And bit by bit 
I swear I think I'm losing all this city's confidence
I swear I've lost
All this city's confidence",sad,0
Information Society,More to This,"I believe
That deep inside you want to see
I can feel
the poisons that you breathe are real

You can change reality that you sustain
You concede
To anything that you believe

Please don’t leave me words to cope with
Painted lies on walls of hope and
Wasted days for us to grieve
There is more to this
Than you believe

I can see
The end of this inevitably
Stay right here
Inverted and away from fear

You maintain the emptiness that I contain
You are free
Please be what you can choose to be

Throw away your words of greed
Hold onto the things you need
Perfect days and sympathy
Or dreams inside your ""happy sea""",sad,0
Foo Fighters,X-Static,"Leading everything along, never far from being wrong.
Nevermind these things at all, it's nothing.
Couldn't find a way to you, seems that's all I ever do.
Turning up in black and blue, rewarded.

All the static we all left.

Wait 'til the time has come, figure that's where time comes from.
Leaving all my senses numb, is heaven.
Lifted up the fatal scene, anything could never be.
Anything but play to me, in order.

All the static we all left.

Take it back for them to keep, fallen into something deep.
Not that I had made that leap, annointed.

All the static we all left.

Where have all the wishes gone, now that all of that is done?
Wish I would've felt I've won, for once.",sad,0
U2,Vertigo,"(Turn it up, eh, captain!)

Lights go down, it's dark
The jungle is your head
Can't rule your heart
A feeling so much stronger than
A thought
Your eyes are wide
And though your soul
It can't be bought
Your mind can wander

Hello, hello! 
I'm at a place called Vertigo! 
It's everything I wish I didn't know
Except you give me something I can feel, feel

The night is full of holes
As bullets rip the sky
Of ink with gold
They twinkle as the boys
Play rock and roll
They know that they can't dance
At least they know

I can't stand the beats
I'm asking for the cheque
The girl with crimson nails
Has Jesus round her neck
Swinging to the music
Swinging to the music
Oh...

Hello, hello! 
I'm at a place called Vertigo! 
It's everything I wish I didn't know
But you give me something I can feel, feel



All of this, all of this can be yours
All of this, all of this can be yours
All of this, all of this can be yours
Just give me what I want and no-one gets hurt

Hello, hello! 
I'm at a place called Vertigo! 
Lights go down and all I know
Is that you give me something

I can feel your love teaching me how
Your love is teaching me how
How to kneel, kneel
Yeah...",happy,1
Pursuit Of Happiness,Hard To Laugh,"Everyone who sees you 
Thinks you should be smiling
That girl, she's so pretty
That girl, she's so beguiling

Everyone who sees you
Thinks you should be happy
Thinks you should coo-coo her 
And start acting all sappy

But it's hard to laugh when you know that she's been cheating
Had her hands around him and she's been giving it a beating
Well it's hard to laugh when you know that she's been lying
But you've got to laugh to prevent yourself from crying

People always ask you 
Why you're so serious
'Cause your woman's got a body 
That would make most men delirious

Yeah, she's got a body 
Of that you're painfully aware
'Cause everytime you see it
You want to pull out your hair

But you know, it's it's hard to laugh when you know that she's been cheating
Had her hands around him and she's been giving it a beating
Well it's hard to laugh when you know that she's been lying
But you've got to laugh to prevent yourself from crying

Hard to laugh when you know that she's been cheating
Had her hands around him and she's been giving it a beating
Well it's hard to laugh when you know that she's been lying
But you've got to laugh to prevent yourself from crying

Hard to laugh
Hard to laugh
Hard to laugh",happy,1
